Posting Date,Canceled,Customer/Vendor Code,Customer/Vendor Name,Customer/Vendor Ref. No.,Item No.,Item/Service Description,Quantity,UoM Code,Price,Row Total
18.11.2022,N,UVT0006,THE SEAFOOD COMPANY PTE LTD,293778,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,100,Manual,19,"1,900.00"
18.11.2022,N,UVB0006,BEN FOODS (S) PTE LTD,102521624,OWC001,OTHER- WHIPPING CREAM WEST GOLD 12X1L/ctns,12,Manual,6,72
18.11.2022,N,UVB0006,BEN FOODS (S) PTE LTD,102521624,OFF005-01,OTHER- SEASONED WEDGE (LAMB WESTON) 12X1KG/CTNS,120,Manual,5.25,630
18.11.2022,N,UVB0006,BEN FOODS (S) PTE LTD,102521624,OTS002,OTHER - PORK LUNCHEON MEAT 6X1.81KG/CAN (MIDLAND-SQUARE),60,Manual,8.5,510
18.11.2022,N,UVP0009,PARK FOOD MANUFACTURING PTE LTD,22112548,PBAL01,PORK MEAT BALL 100pcs 1kg/pkt,150,Manual,6.8,"1,020.00"
18.11.2022,N,UVL0005,LEE HUAT SEAFOOD SUPPLIER,63960,SWC006-02,SEAFOOD- BAMBOO CLAMS 10/12 10X1kg/ctn,50,Manual,4,200
18.11.2022,N,UVL0005,LEE HUAT SEAFOOD SUPPLIER,63960,SWC004-01,SEAFOOD- GONG GONG 20kg,100,Manual,4.5,450
18.11.2022,N,UVL0005,LEE HUAT SEAFOOD SUPPLIER,63960,FSH001-01,FISH- SHARK FILLET 300GM UP 15KG/CTNS,45,Manual,5,225
18.11.2022,N,UVL0027,LIAN HE FA FOOD MANUFACTURING SDN BHD,A11105,FCU001,FISH- CUTTLEFISH 5kg/pkt,50,Manual,5.1,255
18.11.2022,N,UVO0004,OJJ FOODS PTE LTD,22197092,PTRI02,PORK TRIMMING FRESH,224.4,Manual,3,673.2
18.11.2022,N,UVA0001,ANGLISS SINGAPORE PTE LTD,9789,OCH001,OTHER- SLICED CHEESE 84pcs (CHEF CHOICE),24,Manual,9,216
18.11.2022,N,UVJ0001,JCS SHRIMPS PTE LTD,20220021024,FBA001-01,FISH- WHOLE BATANG 2-3 FRESH - CLEAN & GUTTER,126.5,Manual,7.1,898.15
18.11.2022,N,UVJ0001,JCS SHRIMPS PTE LTD,20220021023,SVA0011,SEAFOOD- VANNAMEI HOSO 16-20pcs 6x2pkt/ctn,240,Manual,9.8,"2,352.00"
18.11.2022,N,UVM0001,MUA HIN POULTRY FARM PTE LTD,1559462,CWIN01-03,CHICKEN WING 80-100GM UP (SEARA) 2KGX6PKT,840,Manual,3.8,"3,192.00"
18.11.2022,N,UVC0008,CS TAY FOODS PTE LTD,13145,OPO011,OTHER- SUPER CRISPY CHICKEN (CS TAY) 1X6KG/CTNS,30,Manual,8.5,255
18.11.2022,N,UVQ0005,QUALITY MEAT PTE LTD,22-39004,CWIN05-01,CHICKEN WING 120-140gm (SEARA) 15kg/ctn,4,Manual,30,120
18.11.2022,N,UVA0019,AMAX FOODS PTE LTD,816398,MSS002,MUTTON- LAMB SHORT LOIN,94.6,Manual,10,946
18.11.2022,N,USVE0003,ENG HWA INDUSTRIAL SUPPLIES PTE LTD,66246,,54 ROLL PLASTIC AUTO STRAPPING 12MM X 9KG  YELLOW,0,,"1,404.00","1,404.00"
18.11.2022,N,UVA0030,AH TECK (TNL),18112022,FBA001-05,FISH- FRESH SPANISH MACKEREL,5.7,Manual,9,51.3
18.11.2022,N,UVA0030,AH TECK (TNL),18112022,FBA001-05,FISH- FRESH SPANISH MACKEREL,6.8,Manual,9,61.2
18.11.2022,N,UVT0024,TG FISHERY HOLDINGS CORPORATION,22PAN1181,FSF001-06,FISH- SUTCHI FILLET 170-220gm 6KG/CTNS,800,Manual,14.81,"11,848.00"
18.11.2022,N,UVT0024,TG FISHERY HOLDINGS CORPORATION,22PAN1181,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,"1,000.00",Manual,13.65,"13,650.00"
18.11.2022,N,UVT0024,TG FISHERY HOLDINGS CORPORATION,22PAN1181,FSF001-02,FISH- SUTCHI FILLET 170-220gm (PRIME) 10X1kg/ctn,"2,000.00",Manual,2.78,"5,560.00"
18.11.2022,N,UVT0024,TG FISHERY HOLDINGS CORPORATION,22PAN1181,FSF010-03,FISH- SUTCHI FILLET BUTTERFLY CUT 600-800gm 10/ctns,"3,000.00",Manual,2.22,"6,660.00"
18.11.2022,N,UVT0024,TG FISHERY HOLDINGS CORPORATION,22PAN1181,FSF010-06,FISH- SUTCHI FILLET BUTTERFLY CUT 900-1000gm 10kg/ctn,"6,600.00",Manual,2.22,"14,651.80"
18.11.2022,N,USVA0018,AOP LOGISTICS (S) PTE LTD,INV16298,,7  PLT 10/11 - 18.12.22 CONTAINER NO MMAU 1188068,0,,399.03,399
18.11.2022,N,USVB0001,BELLS FLORA PTE LTD,279343,,1 FLORAL STAND FOR NOONA KOREAN KITCHEN,0,,80,80
18.11.2022,N,USVA0003,ANG KEE COLD STORE PTE LTD,9210029347,,OLYMEL PORK HOCK  15KG  32 PAL   18.11.22  TO  17.12.22,0,,"1,599.98","1,600.00"
19.11.2022,N,UVC0002,HY CASH SUPPLIER (NON-GST),19112022,BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,59,Manual,5,295
