No,Item No.,Item Description,Foreign Name,In Stock,Qty Ordered by Customers,Item Cost,Last Purchase Price,Last Purchase Date,Country of Origin,Inventory Value,Inventory Item,Item Group,Set G/L Accounts By
152,BPA003,BEEF BURGER PATTIES (SADIA) 320GM X 20PKT,,0,0,0,2.99,11.11.2022,,0,Yes,BEEF,Item Group
153,BPA003-02,BEEF BURGER PATTIES CLASSIC 20X320gm,FARMPRIDE,82,10,0,3,09.06.2023,,0,Yes,BEEF,Item Group
154,BPA004,BEEF BURGER PEPPER & ONION (BLACK PRIMO) 420GM X 15PKT,FARMPRIDE,42,0,0,4.4,15.04.2023,,0,Yes,BEEF,Item Group
155,BPA004-01,BEEF BURGER CHEDDAR CHEESE (GOURMET) 15X420gm,,75,0,0,4.4,18.03.2023,,0,Yes,BEEF,Item Group
156,BPA004-02,BEEF BURGER PEPPER ONION (GOURMET) 15X420gm,,0,0,0,0,,,0,Yes,BEEF,Item Group
157,BPA005,WAYGU BEEF BURGER PATTIES 170gm,???? 170gm,18.7,0.34,0,10.2,27.12.2022,,0,Yes,BEEF,Item Group
158,BPA006,MELTIQUE BEEF BURGER PATTIES 170gm,????? 170gm,0,0,0,21,03.03.2021,,0,Yes,BEEF,Item Group
159,BPA008,SEASONING WAYGU BEEF BURGER PATTIES 150gm,?? ???? 150gm,0,0,0,9,04.01.2022,,0,Yes,BEEF,Item Group
160,BPI001,BEEF- BULL PIZZLE,??,0,0,0,8.5,17.01.2019,,0,Yes,BEEF,Item Group
161,BPO001,BEEF POWDER,???,0,0,0,0.4,30.04.2014,,0,Yes,BEEF,Item Group
162,BPP001,BEEF PEPPERONI,,0,0,0,17.6,04.05.2022,,0,Yes,BEEF,Item Group
163,BRC001,CHILLED BEEF RIBEYE GRASSFED URUGUAY-ANGUS,ANA PAULA,0,0,0,24,06.08.2021,,0,Yes,BEEF,Item Group
164,BRC002,CHILLED BEEF RIBEYE GRAINFED BRAZIL-ANGUS,MINERVA,0,0,0,25,26.05.2022,,0,Yes,BEEF,Item Group
165,BRE001,BEEF RIBEYE CUBE 2CM X 2CM,????? 2CM X 2CM,9.5,90,0,10.5,15.06.2023,,0,Yes,BEEF,Item Group
166,BRE0010,CHILLED BEEF RIBEYE GRASSFED NZ,,0,0,0,23.5,15.12.2020,,0,Yes,BEEF,Item Group
167,BRE0010-02,"4** CHILLED BEEF RIBEYE ""YP"" UNION STATION/MIDFIELD**PKT",4** ?????? 250GM/PKT (1PCS),0,0,0,8.2,15.04.2022,,0,Yes,BEEF,Item Group
168,BRE0011,CHILLED BEEF RIBEYE PS CUBEROLL NZ SILVERFERN,,0,0,0,28,07.12.2022,,0,Yes,BEEF,Item Group
169,BRE002,BEEF RIBEYE STEAK 190-220gm,???? 190-220gm,2,42.3,0,11,15.06.2023,,0,Yes,BEEF,Item Group
170,BRE003,BEEF RIBEYE SHABU SHABU 2MM 1kg/pkt,??? ??? 2MM,0,0,0,9,31.10.2021,,0,Yes,BEEF,Item Group
171,BRE003-01,BEEF RIBEYE STEAK 2CM 2KG/PKT,???? 2CM,0,0,0,11.5,15.06.2023,,0,Yes,BEEF,Item Group
172,BRE003-02,BEEF RIBEYE STEAK 1.5CM 3X5KG/CTNS,???? 1.5CM,0,0,0,10.5,15.06.2023,,0,Yes,BEEF,Item Group
173,BRE003-03,BEEF RIBEYE SHABU SHABU 250GM/PKT,??? ??? 250GM/PKT,0,0,0,3.5,03.05.2021,,0,Yes,BEEF,Item Group
174,BRE003-04,BEEF RIBEYE SHABU SHABU 2MM 500GM/PKT,??? ??? 2MM 500GM/PKT,188,37,0,6.2,29.05.2023,,0,Yes,BEEF,Item Group
175,BRE004,BEEF- CHILLED BEEF RIBEYE - WAGYU BEEF,?? ??? (??),0,0,0,86,24.04.2015,,0,Yes,BEEF,Item Group
176,BRE005,BEEF RIBEYE / CUBEROLL (MONDELI),??? MONDELI,0,0,0,10.4,22.02.2023,,0,Yes,BEEF,Item Group
177,BRE006,BEEF RIBEYE / CUBEROLL (MINERVA),???,"2,585.47",38.46,0,9.29,05.06.2023,,0,Yes,BEEF,Item Group
178,BRE007,BEEF RIBEYE / CUBEROLL (BEAUVALLET),???,0,0,0,7.8,28.02.2022,,0,Yes,BEEF,Item Group
179,BRE008,MELTIQUE BEEF RIBEYE / CUBEROLL,,0,0,0,26,19.01.2022,,0,Yes,BEEF,Item Group
180,BRE009,CHILLED BEEF RIBEYE / CUBEROLL USA,?? ??? ??,0,0,0,40,03.08.2016,,0,Yes,BEEF,Item Group
181,BRE010,BEEF A5 WAGYU MASTER RIBEYE (FM),,0,0,0,125.8,06.06.2022,,0,Yes,BEEF,Item Group
182,BRE010-01,CHILLED WAGYU BEEF BRISKET PE MB 6-7,???? MB 6-7,0,0,0,20,01.02.2021,,0,Yes,BEEF,Item Group
183,BRE010-02,CHILLED BEEF BRISKET PE YP UNION STATION,,0,0,0,9,29.09.2020,,0,Yes,BEEF,Item Group
