#,Document Number,Posting Date,Customer/Vendor Code,Customer/Vendor Name,Customer/Vendor Name,Document Currency,Check Amount,Transfer Amount,Cash Amount,Reference 1,Reference 2,Counter Reference,Remarks,Journal Remarks,Journal Remarks
74,362041,07.01.2023,UCC0109,CHUAN HAI KOPITIAM PTE LTD,CHUAN HAI KOPITIAM PTE LTD,SGD,0,0,212.3,36-2041,,,6-Jan,6-Jan,6-Jan
75,362042,07.01.2023,UCH0024,HOKIEN MIAN,HOKIEN MIAN,SGD,0,0,81,36-2042,,,6-Jan,6-Jan,6-Jan
76,362043,07.01.2023,UCM0186,MA BO (FRIED FISH) LOR MEE PTE.LTD,MA BO (FRIED FISH) LOR MEE PTE.LTD,SGD,0,0,92.3,36-2043,,,6-Jan,6-Jan,6-Jan
77,362044,07.01.2023,UCA0156,ACE DYNAMIC HOLDINGS PTE LTD (933UC),ACE DYNAMIC HOLDINGS PTE LTD (933UC),SGD,0,"1,141.60",0,36-2044,,,OCT B.TRANS + 3% SALES REBATE,OCT B.TRANS + 3% SALES REBATE,OCT B.TRANS + 3% SALES REBATE
78,362045,07.01.2023,UCG0104,GRANDFATHER FOOD EMPIRE BAK CHOR MEE,GRANDFATHER FOOD EMPIRE BAK CHOR MEE,SGD,0,0,86.4,36-2045,,,6-Jan,6-Jan,6-Jan
79,362046,07.01.2023,UCG0104,GRANDFATHER FOOD EMPIRE BAK CHOR MEE,GRANDFATHER FOOD EMPIRE BAK CHOR MEE,SGD,0,0,91.8,36-2046,,,6-Jan,6-Jan,6-Jan
80,362047,07.01.2023,UCY0144,YAN XIA CHUAN TONG MIAN JIA,YAN XIA CHUAN TONG MIAN JIA,SGD,0,0,153.3,36-2047,,,6-Jan,6-Jan,6-Jan
81,362048,07.01.2023,UCC0195,CHI MING CHANG CHENG,CHI MING CHANG CHENG,SGD,0,0,117.7,36-2048,,,6-Jan,6-Jan,6-Jan
82,362049,07.01.2023,UCH0241,HK MONG KOK KUI JI KITCHEN,HK MONG KOK KUI JI KITCHEN,SGD,0,0,71.2,36-2049,,,6-Jan,6-Jan,6-Jan
83,362050,07.01.2023,UCA0157,ACE DYNAMIC HOLDINGS PTE LTD (11WS),ACE DYNAMIC HOLDINGS PTE LTD (11WS),SGD,0,996.4,0,36-2050,,,OCT B.TRANS + 3% SALES REBATE,OCT B.TRANS + 3% SALES REBATE,OCT B.TRANS + 3% SALES REBATE
84,362051,07.01.2023,UCM0285,MIN HO SEAFOOD,MIN HO SEAFOOD,SGD,0,0,142.5,36-2051,,,6-Jan,6-Jan,6-Jan
85,362052,07.01.2023,UCC0092,DONG BEI CUISINE,DONG BEI CUISINE,SGD,0,0,86,36-2052,,,6-Jan,6-Jan,6-Jan
86,362053,07.01.2023,UCH0241,HK MONG KOK KUI JI KITCHEN,HK MONG KOK KUI JI KITCHEN,SGD,0,0,71.2,36-2053,,,6-Jan,6-Jan,6-Jan
87,362054,07.01.2023,UCM0298,MR YAN QIAILONG,MR YAN QIAILONG,SGD,0,225.4,0,36-2054,,,3/1 B.TRANS,3/1 B.TRANS,3/1 B.TRANS
88,362055,07.01.2023,UCM0299,MR ZHAO JINSONG,MR ZHAO JINSONG,SGD,0,0,104,36-2055,,,6-Jan,6-Jan,6-Jan
89,362056,07.01.2023,UCP0109,PHOWA THAI FOOD,PHOWA THAI FOOD,SGD,0,85.6,0,36-2056,,,20/12 B.TRANS 22240522,20/12 B.TRANS 22240522,20/12 B.TRANS 22240522
90,362057,07.01.2023,UCN0123,YUN HUA BAK KUT TEH,YUN HUA BAK KUT TEH,SGD,0,0,81,36-2057,,,6-Jan,6-Jan,6-Jan
91,362058,07.01.2023,UCJ0179,MALA FRAGRANT HOT POT,MALA FRAGRANT HOT POT,SGD,0,"5,812.64",0,36-2058,,,DEC B.TRANS,DEC B.TRANS,DEC B.TRANS
92,362059,07.01.2023,UCB0001,BAK KUT TEH .CLAYPOT DELIGHT,BAK KUT TEH .CLAYPOT DELIGHT,SGD,0,0,170,36-2059,,,19-21/12,19-21/12,19-21/12
93,362060,07.01.2023,ucm0271,MALA HOT POT,MALA HOT POT,SGD,0,0,166,36-2060,,,22-Dec,22-Dec,22-Dec
94,362061,07.01.2023,UCP0058,PRAWN NOODLE,PRAWN NOODLE,SGD,0,0,120,36-2061,,,6-Jan,6-Jan,6-Jan
95,362062,07.01.2023,UCB0002,BAN MIAN (31 J.PORT),BAN MIAN (31 J.PORT),SGD,0,0,35.6,36-2062,,,6-Jan,6-Jan,6-Jan
96,362063,07.01.2023,UCE0058,EAT IS HOCK (TPY),EAT IS HOCK (TPY),SGD,0,0,84.3,36-2063,,,6-Jan,6-Jan,6-Jan
97,362064,07.01.2023,UCT0096,TAI HENG HANDMAKE DUM SUM,TAI HENG HANDMAKE DUM SUM,SGD,0,0,88.4,36-2064,,,6/1 23102039,6/1 23102039,6/1 23102039
98,362065,07.01.2023,UCA0121,AH LIM JALAN TUA KONG (64 JOOCHIAT),AH LIM JALAN TUA KONG (64 JOOCHIAT),SGD,0,0,88.9,36-2065,,,6-Jan,6-Jan,6-Jan
99,362066,07.01.2023,UCP0049,PEKING ROASTED CHICKEN RICE,PEKING ROASTED CHICKEN RICE,SGD,0,0,106.3,36-2066,,,6-Jan,6-Jan,6-Jan
