No,Document Number,Document Type,Posting Date,Item No.,Item/Service Description,Quantity,Price,Row Total
842,5851,I,10.11.2022,PBEL10-02,PORK BELLY CUBE 7MM X 7MM 4kg/pkt,24,5.3,127.2
843,5851,I,10.11.2022,SOYS03,SEAFOOD- OYSTER WHOLE WITH SHELL JAPAN 288PCS/CTNS,24,1.38,33.12
844,5851,I,10.11.2022,CCUB11,CHICKEN CUBE  400GM X 12PKT (PERDIGAO),21,3.3,69.3
845,5851,I,10.11.2022,FSR002,FISH- STING RAY 1000-2000gm 10kg/ctn,20,9,180
846,5851,I,10.11.2022,PBEL10-03,PORK BELLY CUBE 5kg/pkt,20,5.3,106
847,5851,I,10.11.2022,SWC003-02,SEAFOOD- WHITE CLAM - BUTTER 500gm x 20pkt/ctns,20,1,20
848,5851,I,10.11.2022,PBEL22-05,PORK BELLY SLICED 2cm THICK,18.86,5.3,99.96
849,5851,I,10.11.2022,PBEL19-10,S/LESS PORK BELLY SLICED 1.5cm,18.08,6.5,117.52
850,5851,I,10.11.2022,CSOF02-02,CHICKEN- KNEE CARTILAGE (SEARA) 300GM/PKT,18,2.2,39.6
851,5851,I,10.11.2022,MFL002,MUTTON- LAMB FLAP BONE IN - SWIFT 20KG/CTNS,18,6.5,117
852,5851,I,10.11.2022,CSPR03-01,CHICKEN- SPRING CHICKEN 800gm (PD) 9.6kg/ctn,30,42.24,"1,267.20"
853,5851,I,10.11.2022,SCA007-03,SEAFOOD- BOILED SEA SCALLOP MEAT 120/150 10X1KG/CTNS,17,5.91,100.47
854,5851,I,10.11.2022,SLB006,SEAFOOD- CRAY PRAWN 150-200,17,8.75,148.75
855,5851,I,10.11.2022,PSOF03,PORK SOFTBONE CUBE 500GM/PKT,15,2,30
856,5851,I,10.11.2022,PBEL21-06,PORK BELLY SLICED 6MM,14.9,5.3,78.97
857,5851,I,10.11.2022,BMS005,BEEF KNUCKLE MEAT SLICED 6MM 2kg/pkt,12,6.8,81.6
858,5851,I,10.11.2022,PBEL22,PORK BELLY SLICED 2 inch X 6mm 2kg/pkt,12,6.4,76.8
859,5851,I,10.11.2022,PCOS04-05,PORK COLLAR 4mm,12,5.2,62.4
860,5851,I,10.11.2022,BSL001-03,BEEF STRIPLOIN (MINERVA -SA),10.2,2,20.4
