No,Document Number,Document Type,Canceled,Posting Date,Item No.,Item/Service Description,Quantity,Price,Row Total
463,5733,I,N,13.12.2022,PBEL06-02,PORK BELLY SINGLE SKINLESS (BOSELER-GERMANY) 20X50,195.6,6.03,"1,179.47"
464,5733,I,N,13.12.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,216,4,864
465,5724,I,N,25.10.2022,BPA004,BEEF BURGER PEPPER & ONION (BLACK PRIMO SADIA) 15X420gm,25,3.5,87.5
466,5724,I,N,25.10.2022,BPA004-01,BEEF BURGER/CHEDDAR CHEESE (PRIMO SADIA) 15X420gm,12,4,48
467,5724,I,N,25.10.2022,OCP004-01,OTHER- CHICKEN BURGER W/SOYBEAN MISO (PRIMO SADIA) 420gmX15pkt,5,3.5,17.5
468,5724,I,N,25.10.2022,OCP005,OTHER- CHICKEN BURGER BULGOGI 420gmX15pkt,53,2.4,127.2
469,5724,I,N,25.10.2022,OCP006,OTHER- CHICKEN BURGER PATTIES (SADIA) 320gmX20pkt,8,2.6,20.8
470,5724,I,N,25.10.2022,CSLI08-02,CHICKEN SLICED SHABU SHABU 12X300gm/pkt PERDIGAO,15,2.2,33
471,5724,I,N,25.10.2022,CSLI08-02,CHICKEN SLICED SHABU SHABU 12X300gm/pkt PERDIGAO,12,2.2,26.4
472,5724,I,N,25.10.2022,OHD012,OTHER- PORK SAUSAGE WITH CORN,24,3,72
473,5724,I,N,25.10.2022,OHD012-02,OTHER- ARABIKI SAUSAGE 200GM/PKT,25,2.7,67.5
474,5724,I,N,25.10.2022,OHD012-03,OTHER- PORK SMOKED SAUSAGE WITH SALTED EGG,53,3.5,185.5
475,5724,I,N,25.10.2022,OHD012-04,OTHER- PORK SMOKED SAUSAGE ORIGINAL,150,0.6,90
476,5724,I,N,25.10.2022,OHD012-05,OTHER- PORK SAUSAGE,62,1.5,93
477,5724,I,N,25.10.2022,OPO006-01,OTHER- CHICKEN POPCORN BITE (HOT&SPICY) 400gmX20pkt,13,3.95,51.35
478,5724,I,N,25.10.2022,CCUR01,CHICKEN- CURRY CHICKEN A 5kgX2pkt,"2,000.00",2.8,"5,600.00"
479,5724,I,N,25.10.2022,PS-02,PORK LEG SLICED 2KGX6PKT/CTNS,796,3.7,"2,945.20"
480,5724,I,N,25.10.2022,PS-02,PORK LEG SLICED 2KGX6PKT/CTNS,500,3.7,"1,850.00"
481,5724,I,N,25.10.2022,PFAT01-02,PORK FATS 25kg/ctn (PCS PROCESSING),500,1.3,650
482,5724,I,N,25.10.2022,CCUB04,CHICKEN CUBE 2KGX6PKT/CTNS,306,4.3,"1,315.80"
483,5724,I,N,25.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,268,3,804
