date,customer_code,customer_name,item_code,description,quantity,currency,selling_price,document_no,total,latest_purchase_price,median_price,avg_price,min_price,max_price,latest_profit_per_uom,median_profit_per_uom,avg_profit_per_uom,max_profit_per_uom,min_profit_per_uom,latest_total_profit,median_total_profit,avg_total_profit,max_total_profit,min_total_profit,latest_pc1,median_pc1,avg_pc1,max_pc1,min_pc1
2022-10-17,UCT0127,T&L INDUSTRIES PTE LTD,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,2.0,SGD,16.5,22215859,33.0,13.5,19.0,17.01,13.5,19.0,3.0,-2.5,-0.5100000000000016,3.0,-2.5,6.0,-5.0,-1.0200000000000031,6.0,-5.0,0.18181818181818182,-0.15151515151515152,-0.030909090909091004,0.18181818181818182,-0.15151515151515152
2022-10-18,UCT0127,T&L INDUSTRIES PTE LTD,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,3.0,SGD,16.5,22216829,49.5,13.5,19.0,17.01,13.5,19.0,3.0,-2.5,-0.5100000000000016,3.0,-2.5,9.0,-7.5,-1.5300000000000047,9.0,-7.5,0.18181818181818182,-0.15151515151515152,-0.030909090909091004,0.18181818181818182,-0.15151515151515152
2022-11-04,UCT0127,T&L INDUSTRIES PTE LTD,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,3.0,SGD,16.5,22223351,49.5,13.5,19.0,17.01,13.5,19.0,3.0,-2.5,-0.5100000000000016,3.0,-2.5,9.0,-7.5,-1.5300000000000047,9.0,-7.5,0.18181818181818182,-0.15151515151515152,-0.030909090909091004,0.18181818181818182,-0.15151515151515152
2022-11-08,UCT0127,T&L INDUSTRIES PTE LTD,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,5.0,SGD,16.5,22224925,82.5,13.5,19.0,17.01,13.5,19.0,3.0,-2.5,-0.5100000000000016,3.0,-2.5,15.0,-12.5,-2.550000000000008,15.0,-12.5,0.18181818181818182,-0.15151515151515152,-0.030909090909091004,0.18181818181818182,-0.15151515151515152
2022-11-25,UCT0127,T&L INDUSTRIES PTE LTD,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,2.0,SGD,15.5,22232055,31.0,13.5,19.0,17.01,13.5,19.0,2.0,-3.5,-1.5100000000000016,2.0,-3.5,4.0,-7.0,-3.020000000000003,4.0,-7.0,0.12903225806451613,-0.22580645161290322,-0.09741935483870978,0.12903225806451613,-0.22580645161290322
2022-11-28,UCT0127,T&L INDUSTRIES PTE LTD,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,1.0,SGD,15.5,22232378,15.5,13.5,19.0,17.01,13.5,19.0,2.0,-3.5,-1.5100000000000016,2.0,-3.5,2.0,-3.5,-1.5100000000000016,2.0,-3.5,0.12903225806451613,-0.22580645161290322,-0.09741935483870978,0.12903225806451613,-0.22580645161290322
2022-12-02,UCT0127,T&L INDUSTRIES PTE LTD,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,2.0,SGD,15.5,22234498,31.0,13.5,19.0,17.01,13.5,19.0,2.0,-3.5,-1.5100000000000016,2.0,-3.5,4.0,-7.0,-3.020000000000003,4.0,-7.0,0.12903225806451613,-0.22580645161290322,-0.09741935483870978,0.12903225806451613,-0.22580645161290322
2022-12-06,UCT0127,T&L INDUSTRIES PTE LTD,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,1.0,SGD,15.5,22235994,15.5,13.5,19.0,17.01,13.5,19.0,2.0,-3.5,-1.5100000000000016,2.0,-3.5,2.0,-3.5,-1.5100000000000016,2.0,-3.5,0.12903225806451613,-0.22580645161290322,-0.09741935483870978,0.12903225806451613,-0.22580645161290322
2022-12-10,UCT0127,T&L INDUSTRIES PTE LTD,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,2.0,SGD,15.5,22237244,31.0,13.5,19.0,17.01,13.5,19.0,2.0,-3.5,-1.5100000000000016,2.0,-3.5,4.0,-7.0,-3.020000000000003,4.0,-7.0,0.12903225806451613,-0.22580645161290322,-0.09741935483870978,0.12903225806451613,-0.22580645161290322
2022-12-09,UCT0127,T&L INDUSTRIES PTE LTD,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,5.0,SGD,15.5,22237525,77.5,13.5,19.0,17.01,13.5,19.0,2.0,-3.5,-1.5100000000000016,2.0,-3.5,10.0,-17.5,-7.550000000000008,10.0,-17.5,0.12903225806451613,-0.22580645161290322,-0.09741935483870978,0.12903225806451613,-0.22580645161290322
2022-12-14,UCT0127,T&L INDUSTRIES PTE LTD,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,5.0,SGD,15.5,22238877,77.5,13.5,19.0,17.01,13.5,19.0,2.0,-3.5,-1.5100000000000016,2.0,-3.5,10.0,-17.5,-7.550000000000008,10.0,-17.5,0.12903225806451613,-0.22580645161290322,-0.09741935483870978,0.12903225806451613,-0.22580645161290322
2022-12-16,UCT0127,T&L INDUSTRIES PTE LTD,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,2.0,SGD,15.5,22240013,31.0,13.5,19.0,17.01,13.5,19.0,2.0,-3.5,-1.5100000000000016,2.0,-3.5,4.0,-7.0,-3.020000000000003,4.0,-7.0,0.12903225806451613,-0.22580645161290322,-0.09741935483870978,0.12903225806451613,-0.22580645161290322
2022-12-22,UCT0127,T&L INDUSTRIES PTE LTD,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,4.0,SGD,15.5,22242092,62.0,13.5,19.0,17.01,13.5,19.0,2.0,-3.5,-1.5100000000000016,2.0,-3.5,8.0,-14.0,-6.040000000000006,8.0,-14.0,0.12903225806451613,-0.22580645161290322,-0.09741935483870978,0.12903225806451613,-0.22580645161290322
