doc_date,industry_desc,trade_suppliers_ind,active_vendor,total
2017-10-01,LOCAL SUPPLIERS,OTHER VENDOR,1,169221.6
2017-10-01,LOCAL SUPPLIERS,TRADE VENDOR,0,323463.88
2017-10-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1182734.76
2017-10-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,710110.6900000001
2017-10-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,427577.11
2017-11-01,LOCAL SUPPLIERS,OTHER VENDOR,0,23654.54
2017-11-01,LOCAL SUPPLIERS,OTHER VENDOR,1,172202.13
2017-11-01,LOCAL SUPPLIERS,TRADE VENDOR,0,115971.42
2017-11-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1491790.25
2017-11-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,562943.89
2017-11-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,637964.05
2017-12-01,LOCAL SUPPLIERS,OTHER VENDOR,0,20548.71
2017-12-01,LOCAL SUPPLIERS,OTHER VENDOR,1,171304.02000000002
2017-12-01,LOCAL SUPPLIERS,TRADE VENDOR,0,112277.03
2017-12-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1287656.5999999999
2017-12-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,1172175.25
2017-12-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,130786.97
2018-01-01,LOCAL SUPPLIERS,OTHER VENDOR,0,13278.36
2018-01-01,LOCAL SUPPLIERS,OTHER VENDOR,1,138903.98
2018-01-01,LOCAL SUPPLIERS,TRADE VENDOR,0,190182.85
2018-01-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1078593.96
2018-01-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,284134.14
2018-01-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,108823.54
2018-02-01,LOCAL SUPPLIERS,OTHER VENDOR,0,22202.16
2018-02-01,LOCAL SUPPLIERS,OTHER VENDOR,1,125186.51000000001
2018-02-01,LOCAL SUPPLIERS,TRADE VENDOR,0,229676.4
2018-02-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1828366.37
2018-02-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,224240.47
2018-02-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,96786.0
2018-03-01,LOCAL SUPPLIERS,OTHER VENDOR,0,15690.29
2018-03-01,LOCAL SUPPLIERS,OTHER VENDOR,1,168450.28
2018-03-01,LOCAL SUPPLIERS,TRADE VENDOR,0,127940.88
2018-03-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1715432.5
2018-03-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,46105.96
2018-03-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,565106.64
2018-04-01,LOCAL SUPPLIERS,OTHER VENDOR,0,22419.670000000002
2018-04-01,LOCAL SUPPLIERS,OTHER VENDOR,1,361021.13
2018-04-01,LOCAL SUPPLIERS,TRADE VENDOR,0,425396.86
2018-04-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1467040.77
2018-04-01,OVERSEAS SUPPLIERS,OTHER VENDOR,0,3659.4
