week_start,item_code,description,vendor_code,vendor_name,price,group_average_price,group_min_price,group_max_price
2022-12-12,FLE003,FISH- LEATHER JACKET 300-400gm 10kg/ctn,UVS0005,SONG FISH DEALER PTE LTD,7.5,7.5,7.5,7.5
2022-12-12,FRG004,FISH- RED GORLY 6-8pcs 2kgX5pkt,UVE0001,EASTERN HARVEST FOODS (S) PTE LTD,3.2,3.2,2.8,3.2
2022-12-12,FRS001-02,FISH- RED SNAPPER FISH HEAD FRESH,UVC0035,TECK CASH SUPPLIER (NON-GST),12.0,12.0,10.5,12.5
2022-12-12,FRS001-05,FISH- RED SNAPPER FISH HEAD FROZEN 5nos/ctns,UVT0021,T&L INDUSTRIES PTE LTD,51.0,17.0,14.5,17.0
2022-12-12,FRS003,FISH- FRESH RED GROUPER - SMALL,UVC0035,TECK CASH SUPPLIER (NON-GST),27.0,25.0,22.0,27.0
2022-12-12,FRS005,FISH- RED SNAPPER FISH,UVT0021,T&L INDUSTRIES PTE LTD,51.0,16.5,14.0,17.0
2022-12-12,FSA001,FISH- SABA FISH 400-600gm 20kg/ctn,UVE0001,EASTERN HARVEST FOODS (S) PTE LTD,3.8,3.8,3.8,3.8
2022-12-12,FSB002-01,FISH- FRESH SEABASS 600-700GM,UVC0035,TECK CASH SUPPLIER (NON-GST),6.0,6.779999999999999,6.0,7.45
2022-12-12,FSB002-01,FISH- FRESH SEABASS 600-700GM,UVT0033,TIONG HIN FISH MERCHANT CO,13.36,6.779999999999999,6.0,7.45
2022-12-12,FSB002-03,FISH- FRESH SEABASS 500-600GM,UVT0021,T&L INDUSTRIES PTE LTD,24.0,6.7,6.7,8.0
2022-12-12,FSB002-03,FISH- FRESH SEABASS 500-600GM,UVT0033,TIONG HIN FISH MERCHANT CO,87.44,6.7,6.7,8.0
2022-12-12,FSB002-06,FISH- FRESH SEABASS 800-900GM - BUTTERFLY @ BACK,UVT0033,TIONG HIN FISH MERCHANT CO,6.78,6.8,6.78,7.02
2022-12-12,FSF004-08,FISH- SUTCHI FILLET 400-600gm 6kg/ctn (TWIN) DL 478,UVT0024,TG FISHERY HOLDINGS CORPORATION,14.53,15.32,14.44,17.0
2022-12-12,FSH001-01,FISH- SHARK FILLET 300GM UP 15KG/CTNS,UVL0005,LEE HUAT SEAFOOD SUPPLIER,10.0,5.0,5.0,5.0
2022-12-12,FSH003,FISH- SOON HOCK FISH,UVC0035,TECK CASH SUPPLIER (NON-GST),18.0,18.0,18.0,18.0
2022-12-12,FSN002-04,FISH- TOMAN FILLET CUT SLICED (SKIN-ON) 4MM 10X1KG/CTNS,UVB0019,BLU VENTURES PTE LTD,9.0,8.0,7.5,9.0
2022-12-12,FSN003,FISH- FRESH TOMAN FILLET,UVA0030,AH TECK (TNL),20.4,11.2,9.5,11.2
2022-12-12,FSN003,FISH- FRESH TOMAN FILLET,UVT0021,T&L INDUSTRIES PTE LTD,22.4,11.2,9.5,11.2
2022-12-12,FSR002,FISH- STING RAY 1000-2000gm 10kg/ctn,UVL0005,LEE HUAT SEAFOOD SUPPLIER,9.0,9.0,9.0,9.0
2022-12-12,FTN002,FISH- FRESH TUNA (INDONESIA MAGURO),UVK0018,KIDA FOOD TRADING PTE LTD,44.0,22.0,22.0,22.0
2022-12-12,FUN002,UNAGI KABAYAKI 200GMX50PCS 10KG/CTNS (IWP-PACKING),UVF0021,FARMFOOD TRADING PTE LTD,27.5,27.5,27.5,27.5
2022-12-12,FUN003,UNAGI KABAYAKI 250GM/PKT ** 50PCS,UVF0021,FARMFOOD TRADING PTE LTD,5.5,5.5,5.5,5.5
2022-12-12,MBL004-02,LAMB BONELESS LEG (AUST-HILLSIDE/RYAN),UVM0008,MEGA PACKERS ASSOCIATE PTE LTD,12.9,13.600000000000001,12.9,14.3
2022-12-12,MCA003,RAM CARCASE (WOODWARD-AUST),UVK0002,KOH SEE LONG FOOD PTE LTD,9.5,9.5,9.5,9.5
2022-12-12,MCU001,MUTTON CUBE 5kgX2pkt,UVC0001,CASH SUPPLIER (NON-GST),11.4,11.4,11.4,11.4
2022-12-12,MECHICKEN03,MARINATE CHICKEN MID JOINT 5KG/PKT,USVS0018,SINGYI F&B PTE LTD,15.6,7.8,7.8,7.8
