item_code,description,date,quantity,purchase_quantity
CBLL01-01,CHICKEN BONELESS LEG 200gmUP (SEARA ) 2kgx6pkt,2022-11-01,264.0,840.0
CBLL01-01,CHICKEN BONELESS LEG 200gmUP (SEARA ) 2kgx6pkt,2022-12-01,852.0,0.0
CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,2022-10-01,17151.0,13932.0
CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,2022-11-01,18856.0,13920.0
CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,2022-12-01,25176.0,27000.0
CBLL09-03,CHICKEN CUBE 1CMX1CM 2kgX6pkt,2022-10-01,48.0,0.0
CBLL09-03,CHICKEN CUBE 1CMX1CM 2kgX6pkt,2022-11-01,48.0,0.0
CBLL09-03,CHICKEN CUBE 1CMX1CM 2kgX6pkt,2022-12-01,60.0,0.0
CBLS05,CHICKEN BONELESS SKINLESS LEG (MULTI-BRAZIL) 2kgX6pkt,2022-10-01,616.0,240.0
CBLS05,CHICKEN BONELESS SKINLESS LEG (MULTI-BRAZIL) 2kgX6pkt,2022-11-01,554.0,240.0
CBLS05,CHICKEN BONELESS SKINLESS LEG (MULTI-BRAZIL) 2kgX6pkt,2022-12-01,490.0,540.0
CBON01,CHICKEN BONE,2022-10-01,430.0,50.0
CBON01,CHICKEN BONE,2022-11-01,900.0,150.0
CBON01,CHICKEN BONE,2022-12-01,1010.0,180.0
CBSL04,CHICKEN BREAST SKINLESS (AVIVAR) 2kgX6pkt,2022-10-01,576.0,0.0
CBSL04,CHICKEN BREAST SKINLESS (AVIVAR) 2kgX6pkt,2022-11-01,960.0,0.0
CBSL04,CHICKEN BREAST SKINLESS (AVIVAR) 2kgX6pkt,2022-12-01,400.0,0.0
CBSL07,CHICKEN BREAST (PERDIGAO) 1kgX16pkt,2022-10-01,16.0,16.0
CBSL14,CHICKEN BREAST STRIP 250GM X 12PKT (PERDIGAO),2022-10-01,282.0,60.0
CBSL14,CHICKEN BREAST STRIP 250GM X 12PKT (PERDIGAO),2022-11-01,84.0,60.0
CBSL14,CHICKEN BREAST STRIP 250GM X 12PKT (PERDIGAO),2022-12-01,246.0,60.0
CCUB01,CHICKEN BONELESS CUBE SKIN ON 2KG/PKT,2022-10-01,312.0,0.0
CCUB01,CHICKEN BONELESS CUBE SKIN ON 2KG/PKT,2022-11-01,834.0,0.0
CCUB01,CHICKEN BONELESS CUBE SKIN ON 2KG/PKT,2022-12-01,480.0,0.0
CCUB03,CHICKEN CUBE W/O SKIN 2kgX6pkt,2022-11-01,8.0,0.0
CCUB03,CHICKEN CUBE W/O SKIN 2kgX6pkt,2022-12-01,48.0,0.0
CCUB04,CHICKEN CUBE 2KGX6PKT/CTNS,2022-10-01,3904.0,0.0
CCUB04,CHICKEN CUBE 2KGX6PKT/CTNS,2022-11-01,4378.0,0.0
CCUB04,CHICKEN CUBE 2KGX6PKT/CTNS,2022-12-01,3246.0,0.0
CCUB05,CHICKEN CUBE S 5kgX2pkt,2022-10-01,770.0,0.0
CCUB05,CHICKEN CUBE S 5kgX2pkt,2022-11-01,685.0,0.0
CCUB05,CHICKEN CUBE S 5kgX2pkt,2022-12-01,615.0,0.0
CCUB06,CHICKEN CUBE 2CM 12KG/CTN,2022-10-01,552.0,0.0
CCUB06,CHICKEN CUBE 2CM 12KG/CTN,2022-11-01,312.0,0.0
CCUB06,CHICKEN CUBE 2CM 12KG/CTN,2022-12-01,458.0,0.0
CCUB11,CHICKEN CUBE  400GM X 12PKT (PERDIGAO),2022-10-01,249.0,120.0
CCUB11,CHICKEN CUBE  400GM X 12PKT (PERDIGAO),2022-11-01,126.0,60.0
CCUB11,CHICKEN CUBE  400GM X 12PKT (PERDIGAO),2022-12-01,262.0,60.0
CCUR01,CHICKEN- CURRY CHICKEN A 5kgX2pkt,2022-10-01,6877.0,0.0
CCUR01,CHICKEN- CURRY CHICKEN A 5kgX2pkt,2022-11-01,7852.0,0.0
CCUR01,CHICKEN- CURRY CHICKEN A 5kgX2pkt,2022-12-01,9064.0,0.0
CCUR02,CHICKEN- CURRY CHICKEN S 5kg/pkt,2022-10-01,130.0,0.0
CCUR02,CHICKEN- CURRY CHICKEN S 5kg/pkt,2022-11-01,125.0,0.0
CCUR02,CHICKEN- CURRY CHICKEN S 5kg/pkt,2022-12-01,110.0,0.0
CCUR05,CHICKEN- CURRY CHICKEN 5kgX2pkt,2022-11-01,225.0,0.0
CCUR07,CHICKEN- CURRY CHICKEN (LEE) 10kg/ctn,2022-10-01,4830.0,0.0
CCUR07,CHICKEN- CURRY CHICKEN (LEE) 10kg/ctn,2022-11-01,4500.0,0.0
CCUR07,CHICKEN- CURRY CHICKEN (LEE) 10kg/ctn,2022-12-01,4240.0,0.0
CDRU02,CHICKEN DRUMSTICK TYSON 3X5KG/CTNS,2022-10-01,785.0,225.0
CDRU02,CHICKEN DRUMSTICK TYSON 3X5KG/CTNS,2022-11-01,955.0,300.0
CDRU02,CHICKEN DRUMSTICK TYSON 3X5KG/CTNS,2022-12-01,920.0,450.0
CDRU04,CHICKEN DRUMSTICK (WAYNE FARM)15kg/ctn,2022-10-01,20.0,20.0
CFAT01,CHICKEN FATS,2022-10-01,15.0,20.0
CFAT01,CHICKEN FATS,2022-11-01,10.0,0.0
CFAT01,CHICKEN FATS,2022-12-01,10.0,0.0
