pdt_code,pdt_name,current_inv,summary_purchases_date_range,summary_purchases_min_price,summary_purchases_max_price,summary_sales_date_range,summary_sales_latest_date,summary_sales_latest_price,summary_sales_min_price,summary_sales_max_price
OPR003-02,,,2021-09-01 - 2023-09-08,1.28,1.28,2021-09-01 - 2023-09-08,2023-02-02,1.5,1.5,1.5
OPR006,,,2023-03-01 - 2023-09-08,2.6,2.6,2023-03-01 - 2023-09-08,2023-09-07,4.0,3.8,4.0
OPR007,,,2023-03-01 - 2023-09-08,2.6,2.8,2023-03-01 - 2023-09-08,2023-08-29,3.8,3.8,3.8
OPR008,,,2023-03-01 - 2023-09-08,2.6,2.6,2023-03-01 - 2023-09-08,2023-06-09,3.8,3.8,3.8
OPR009,,,2023-03-01 - 2023-09-08,2.6,2.8,2023-03-01 - 2023-09-08,2023-07-11,3.8,3.8,3.8
OPR011,,,2023-03-01 - 2023-09-08,2.6,2.6,2023-03-01 - 2023-09-08,2023-08-28,3.8,3.8,4.0
ORM002,,,2021-09-01 - 2023-09-08,0.5,0.75,2021-09-01 - 2023-09-08,2022-09-22,0.8,0.6,4.44
ORM008,,,2023-03-01 - 2023-09-08,16.6,17.0,2023-03-01 - 2023-09-08,2023-09-06,18.0,18.0,21.3
ORV003,,,2023-03-01 - 2023-09-08,3.5,3.7,2023-03-01 - 2023-09-08,2023-09-07,3.9,3.7,10.0
ORV005,,,2023-03-01 - 2023-09-08,21.0,21.0,2023-03-01 - 2023-09-08,2023-06-07,30.0,27.0,30.0
OSA002,,,2023-03-01 - 2023-09-08,4.0,5.0,2023-03-01 - 2023-09-08,2023-09-07,5.65,4.6,6.3
OSA003,,,2023-03-01 - 2023-09-08,1.9,2.0,2023-03-01 - 2023-09-08,2023-09-06,2.46,0.01,2.9
OSA005,,,2023-03-01 - 2023-09-08,4.4,5.0,2023-03-01 - 2023-09-08,2023-09-07,5.8,5.2,5.8
OSA005-02,,,2023-03-01 - 2023-09-08,4.4,4.65,2023-03-01 - 2023-09-08,2023-09-06,5.61,4.6,6.0
OSA005-03,,,2021-09-01 - 2023-09-08,5.8,7.0,2021-09-01 - 2023-09-08,2022-10-02,8.5,8.0,8.5
OSA005-04,,,2023-03-01 - 2023-09-08,47.0,47.0,2023-03-01 - 2023-09-08,2023-09-04,55.0,55.0,55.0
OSBS02,,,2021-09-01 - 2023-09-08,7.8,7.8,2021-09-01 - 2023-09-08,2022-05-07,8.5,8.5,8.5
OSBS02-01,,,2023-03-01 - 2023-09-08,7.3,10.0,2023-03-01 - 2023-09-08,2023-09-06,11.0,7.5,15.5
OSC001,,,2023-03-01 - 2023-09-08,9.7,11.0,2023-03-01 - 2023-09-08,2023-09-07,11.02,0.01,17.38
OSC002,,,2023-03-01 - 2023-09-08,8.8,8.8,2023-03-01 - 2023-09-08,2023-09-01,10.5,8.9,14.5
OSC004,,,2021-09-01 - 2023-09-08,2.0,3.0,2021-09-01 - 2023-09-08,2022-08-01,6.95,3.5,11.0
OSC005,,,2021-09-01 - 2023-09-08,9.0,9.0,2021-09-01 - 2023-09-08,2022-06-23,10.8,9.2,13.2
OSG001,,,2023-03-01 - 2023-09-08,1.25,1.25,2023-03-01 - 2023-09-08,2023-06-24,1.56,1.56,1.56
OSM001,,,2023-03-01 - 2023-09-08,9.0,10.0,2023-03-01 - 2023-09-08,2023-08-23,10.0,9.5,12.0
OSO001,,,2021-09-01 - 2023-09-08,50.0,95.0,2021-09-01 - 2023-09-08,2022-02-04,82.24,55.0,100.93
OSO001-02,,,2021-09-01 - 2023-09-08,50.0,50.0,2021-09-01 - 2023-09-08,2023-01-19,50.5,0.01,80.0
OSO003,,,,,,2021-09-01 - 2023-09-08,2022-11-26,0.01,0.01,0.01
OSO004,,,2023-03-01 - 2023-09-08,4.0,35.0,2023-03-01 - 2023-09-08,2023-09-07,8.24,4.2,10.25
OSO004-02,,,2023-03-01 - 2023-09-08,4.15,4.15,2023-03-01 - 2023-09-08,2023-09-02,7.31,4.5,8.18
OSO006,,,,,,2021-09-01 - 2023-09-08,2021-12-16,3.3,3.3,3.3
OSO008,,,2023-03-01 - 2023-09-08,8.1,8.7,2023-03-01 - 2023-09-08,2023-09-02,14.63,8.5,18.43
OSO009,,,2023-03-01 - 2023-09-08,11.5,15.4,2023-03-01 - 2023-09-08,2023-08-28,16.44,13.0,23.88
OSP002,,,2023-03-01 - 2023-09-08,2.1,2.2,2023-03-01 - 2023-09-08,2023-09-04,2.5,2.4,2.5
OSR001,,,2021-09-01 - 2023-09-08,6.5,6.5,2021-09-01 - 2023-09-08,2022-12-22,7.9,7.9,7.9
OSR002,,,2023-03-01 - 2023-09-08,7.5,9.0,2023-03-01 - 2023-09-08,2023-09-07,11.0,0.01,15.65
OSR002-02,,,2021-09-01 - 2023-09-08,4.6,4.6,2021-09-01 - 2023-09-08,2021-11-16,4.7,4.7,4.7
OSR002-03,,,,,,2021-09-01 - 2023-09-08,2022-02-22,3.2,2.75,3.2
OSR002-04,,,2023-03-01 - 2023-09-08,2.1,2.1,2023-03-01 - 2023-09-08,2023-09-07,4.44,2.3,5.0
OSR003,,,,,,2021-09-01 - 2023-09-08,2022-09-28,1.0,1.0,1.0
OSR006,,,2023-03-01 - 2023-09-08,2.46,2.46,2023-03-01 - 2023-09-08,2023-09-06,3.2,3.0,4.63
OSR007,,,2021-09-01 - 2023-09-08,2.08,4.17,2021-09-01 - 2023-09-08,2022-12-23,9.0,9.0,9.0
OSR009,,,,,,2021-09-01 - 2023-09-08,2021-09-12,4.5,4.5,4.5
OSS002,,,2021-09-01 - 2023-09-08,4.5,16.0,2021-09-01 - 2023-09-08,2023-02-03,11.0,10.0,16.5
OSS006,,,2021-09-01 - 2023-09-08,19.0,22.0,2021-09-01 - 2023-09-08,2022-02-25,24.75,19.5,24.75
