pdt_code,pdt_name,current_inv,purchases_data_date_range,purchases_min_price,purchases_max_price,sales_data_date_range,latest_sales_date,latest_sales_price,sales_min_price,sales_max_price
PSTO05,PORK STOMACH COOKED (EXCELENCIA-BRAZIL) 18KG/CTNS,0.0,2023-04-01 - 2023-10-03,1.34,3.5,2023-04-01 - 2023-10-03,2023-08-02,6.8,2.0,6.8
PSTO12,PORK STOMACH COOKED 10kg/ctn (ATRIA-FINLAND 22),0.0,2023-04-01 - 2023-10-03,3.0,4.5,2023-04-01 - 2023-10-03,2023-08-27,4.3,3.35,6.8
PSTO13,PORK STOMACH 10kg/ctn (FRIVELSA),0.0,2023-04-01 - 2023-10-03,3.0,3.0,2023-04-01 - 2023-10-03,2023-08-27,6.15,4.2,6.8
PSTO14,PORK STOMACH 10kg/ctn (SUNPORK),35.0,2023-04-01 - 2023-10-03,4.2,4.2,2023-04-01 - 2023-10-03,2023-09-14,4.4,4.4,7.0
PSTO15,PORK STOMACH COOKED SPAIN-ICP 10KG/CTNS,110.0,2023-04-01 - 2023-10-03,4.2,4.3,2023-04-01 - 2023-10-03,2023-09-29,6.0,4.4,7.0
PSTO17,PORK STOMACH COOKED (RAINHA-BRAZIL) 15KG/CTNS,7092.1,2023-04-01 - 2023-10-03,2.48,2.48,2023-04-01 - 2023-10-03,2023-10-03,5.89,4.2,7.0
PSWR01,PORK SWEET INTESTINES,0.0,2021-10-01 - 2023-10-03,9.5,9.5,2021-10-01 - 2023-10-03,2022-06-20,13.0,8.5,13.0
PSWR02,PORK- PORK SWEET RUNNERS (DV-AUST) 2PKT/CTNS,84.59,2023-04-01 - 2023-10-03,9.5,9.5,2023-04-01 - 2023-10-03,2023-10-01,11.0,9.8,13.0
PSWR03,PORK SMALL INTESTINES,0.0,,,,2021-10-01 - 2023-10-03,2022-04-02,1.3,0.5,1.3
PSWR05,PORK SMALL INTESTINES,1.48,2023-04-01 - 2023-10-03,1.3,1.3,2023-04-01 - 2023-10-03,2023-08-10,2.5,2.0,2.5
PTAI01-02,PORK TAIL CUT CUBE A,205.0,2023-04-01 - 2023-10-03,6.2,6.2,2023-04-01 - 2023-10-03,2023-10-03,7.5,7.0,9.0
PTAI01-03,PORK TAIL CUT CUBE B,10.0,,,,2023-04-01 - 2023-10-03,2023-09-16,3.0,3.0,5.0
PTAI01-04,PORK TAIL 10KG/CTNS,204.8,2023-04-01 - 2023-10-03,5.2,6.2,2023-04-01 - 2023-10-03,2023-10-03,7.2,5.4,7.8
PTAI03,PORK TAIL (SB-DENMARK),0.0,2021-10-01 - 2023-10-03,1.5,1.5,2021-10-01 - 2023-10-03,2023-02-22,5.77,5.0,8.5
PTAI07,PORK TAIL (L/VALLEY) AUST,0.0,2023-04-01 - 2023-10-03,5.2,5.2,2023-04-01 - 2023-10-03,2023-08-04,5.8,5.8,5.8
PTAI08,PORK TAIL   Jobstl,0.0,2021-10-01 - 2023-10-03,4.3,4.3,2023-04-01 - 2023-10-03,2023-04-06,5.0,5.0,5.0
PTAI09,PORK TAIL (EST 284 SEVEN POINT-AUST),0.0,,,,2021-10-01 - 2023-10-03,2022-06-13,7.5,5.5,8.0
PTAI11,PORK TAIL (HK SCAN-SWEDEN),0.0,2021-10-01 - 2023-10-03,5.5,5.5,2021-10-01 - 2023-10-03,2023-02-25,7.3,7.3,7.5
PTEN01,PORK FILLET/TENDERLOIN 12kg/ctn (FRIMESA),0.0,2023-04-01 - 2023-10-03,4.8,4.8,2023-04-01 - 2023-10-03,2023-09-11,6.0,6.0,6.5
PTEN01-01,PORK FILLET/TENDERLOIN 12kg/ctn (FRIMESA),0.0,2023-04-01 - 2023-10-03,4.3,4.8,2023-04-01 - 2023-10-03,2023-08-15,5.0,4.5,5.0
PTEN05,PORK FILLET/TENDERLOIN 22kg/ctns (PIFPAF),0.0,,,,2023-04-01 - 2023-10-03,2023-09-02,5.0,5.0,5.0
PTK001,PORK TONKATSU (BREADED PORK CUTLET) 270GMX12PKT/CTNS,0.0,2021-10-01 - 2023-10-03,4.8,4.8,2021-10-01 - 2023-10-03,2022-12-10,7.38,5.3,7.38
PTON01,PORK- PIG TONGUE (AUST) 15kg/ctn,0.0,2021-10-01 - 2023-10-03,3.5,3.6,2021-10-01 - 2023-10-03,2023-02-27,4.75,3.8,6.8
PTON02,PORK- PIG TONGUE,0.0,2021-10-01 - 2023-10-03,4.0,4.2,2021-10-01 - 2023-10-03,2023-03-02,4.8,4.3,5.2
PTON03,PORK- PIG TONGUE 10KG/CTNS (TONNIE),0.0,2023-04-01 - 2023-10-03,4.3,5.0,2023-04-01 - 2023-10-03,2023-10-01,6.0,4.8,6.5
PTON05,PORK- PIG TONGUE (RAINHA-BRAZIL) 20KG/CTNS,3900.0,2023-04-01 - 2023-10-03,2.3,2.3,2023-04-01 - 2023-10-03,2023-10-03,5.1,3.8,6.0
PTRI02,PORK TRIMMING FRESH,0.0,2023-04-01 - 2023-10-03,3.0,4.2,2021-10-01 - 2023-10-03,2023-03-21,3.2,3.0,4.3
PTRI03,PORK TRIMMING FROZEN,12139.27,2023-04-01 - 2023-10-03,2.0,2.5,2023-04-01 - 2023-10-03,2023-04-28,3.2,3.0,3.2
PTRI04,PORK BELLY STRIPES 18KG/CTNS **SULINA**,0.0,2023-04-01 - 2023-10-03,1.3,3.5,2023-04-01 - 2023-10-03,2023-09-06,5.0,2.6,5.8
